繁體	简体	吴拼	原书转写吴拼	页码
淨根	净根	zhin ken	zhin ken	220
淨根牙	净根牙	zhin ken ngo	zhin ken ngo	220
放生	放生	faon san	faon san	220
放血	放血	faon shiuq	faon shiuq	220
放湯	放汤	faon thaon	faon thaon	220
放命	放命	faon min	faon min	220
放命頭	放命头	faon min deu	faon min deu	220
放爛草	放烂草	faon lae tshau	faon lae tshau	220
放銅銃	放铜铳	faon don tshon	faon don tshon	220
放大銃	放大铳	faon dou tshon	faon dou tshon	220
放火癩𪓿	放火癩𪓿	faon hou la sy	faon hou la sy	220
刻	刻	khaq7	khaq7	221
刻忖	刻忖	khaq tshen	khaq tshen	221
於處	於处	u tshyu	u tshyu	221
於處	於处	u sei	u sei	221
於處	於处	u the	u the	221
於黨	於党	u thaon	u thaon	221
鬧熱	闹热	nau gniq	nau gniq	221
單邊	单边	tae pi	tae pi	221
單角	单角	tae koq	tae koq	221
單票	单票	tae phiau	tae phiau	221
單超	单超	tae chiau	tae chiau	221
單頭重	单头重	tae deu dzon	tae deu dzon	222
單角落頭	单角落头	tae koq loq deu	tae koq loq deu	222
單角落頭	单角落头	tae koq loq dei	tae koq loq dei	222
炒毛麩	炒毛麸	tshau mau fu	tshau mau fu	222
熓	𤆡	u1	u1	222
熓焞焞	𤆡焞焞	u ten ten	u ten ten	222
淺鬆鬆	浅松松	chi son son	chi son son	222
泔腳	泔脚	ki ciaq	ki ciq	222
泔腳缸	泔脚缸	ki ciaq kaon	ki ciq kaon	222
河頭	河头	ghou deu	ghou deu	222
河江	河江	ghou kaon	ghou kaon	222
河泥	河泥	ghou gni	ghou gni	222
河樁	河桩	ghou tsaon	ghou tsaon	223
河水鬼	河水鬼	ghou syu ciu	ghou syu ciu	223
沰	沰	toq7	toq7	223
油	油	yeu2	yeu2	223
油包	油包	yeu pau	yeu pau	223
油皮	油皮	yeu bi	yeu bi	223
油肉	油肉	yeu gnioq	yeu gnioq	223
油盄	油盄	yeu tiau	yeu tiau	223
油盄甏	油盄甏	yeu tiau ban	yeu tiau ban	223
油繩	油绳	yeu zhin	yeu zhin	223
油豆腐	油豆腐	yeu deu vu	yeu deu vu	224
油咪咪	油咪咪	yeu mhi mhi	yeu mhi mhi	224
油貼黃	油贴黄	yeu thaq waon	yeu thaq waon	224
油炸檜	油炸桧	yeu zaq kuei	yeu zaq kuei	224
油䏧䏧	油䏧䏧	yeu no no	yeu no no	224
油饊子	油馓子	yeu tsae tsy	yeu tsae tsy	224
油饡子	油𱄊子	yeu tsae tsy	yeu tsae tsy	224
油蒿氣	油蒿气	yeu hau chi	yeu hau chi	224
油蒿蒿	油蒿蒿	yeu hau hau	yeu hau hau	224
油煠膾	油煠脍	yeu zaq kuei	yeu zaq kuei	225
油鱉蛋	油鳖蛋	yeu piq dae	yeu piq dae	225
油光水滑	油光水滑	yeu kuaon syu waq	yeu kuaon syu waq	225
油漬格勒	油渍格勒	yeu ciq kaq laq	yeu ciq kaq laq	225
油漬括得	油渍括得	yeu tsyu kuaq taq	yeu tsyu kuaq taq	225
泅	泅	jieu2	jieu2	225
沿	沿	yi2	yi2	225
泡湯	泡汤	phau thaon	phau thaon	225
注	注	tsyu5	tsyu5	225
瀉	泻	shia3	shia3	225
泥	泥	gni2	gni2	226
泥刀	泥刀	gni tau	gni tau	226
泥水	泥水	gni syu	gni syu	226
泥夾	泥夹	gni kaq	gni kaq	226
泥蛇	泥蛇	gni dzo	gni dzo	226
泥鏝	泥镘	gni mun	gni moe	226
泥鏝板	泥镘板	gni mun pae	gni moe pae	226
泥艋船	泥艋船	gni man zoe	gni man zoe	226
泥西疙敦	泥西疙敦	gni shi kaq ten	gni shi kaq ten	226
泥氣疙敦	泥气疙敦	gni chi kaq ten	gni chi kaq ten	226
泥蛇白眼	泥蛇白眼	gni dzo baq ngae	gni dzo baq ngae	226
潑	泼	pha5	pha5	227
怏	怏	aon1	aon1	227
怏躁躁	怏躁躁	aon tsau tsau	aon tsau tsau	227
性	性	shin5	shin5	227
性性	性性	shin shin	shin shin	227
性命結果	性命结果	shin min ciq kou	shin min ciq kou	227
怕	怕	pho5	pho5	227
怕其	怕其	pho ji	pho ji	227
怕懼	怕惧	pho jiu	pho jiu	227
怕敢	怕敢	pho ki	pho ki	227
怕勢勢	怕势势	pho syu syu	pho syu syu	228
怪青	怪青	kuan chin	kuan chin	228
怪清	怪清	kuan chin	kuan chin	228
怪酸	怪酸	kuan soe	kuan soe	228
怪得斯酸	怪得斯酸	kuan taq sy soe	kuan taq sy soe	228
怪得頭酸	怪得头酸	kuan taq deu soe	kuan taq deu soe	228
學生子	学生子	ghoq san tsy	ghoq san tsy	228
寶貨	宝货	pau hou	pau hou	228
宗	宗	tson1	tson1	228
定	定	din6	din6	228
定見	定见	din ci	din ci	229
定歸	定归	din kuei	din kuei	229
定堅	定坚	din ci	din ci	229
定規	定规	din kuei	din kuei	229
定規性	定规性	din kuei shin	din kuei shin	229
定頭鈿	定头钿	din deu di	din deu di	229
定定心心	定定心心	din din shin shin	din din shin shin	229
宕	宕	dan6	dan6	229
宕子	宕子	dan tsy	dan tsy	229
宕子	宕子	dan tsyu	dan tsyu	229
宕頭	宕头	dan deu	dan deu	229
宕鑼	宕锣	than lou	than lou	230
官司草	官司草	kun sy tshau	ku sy tshau	230
空頭	空头	khon deu	khon deu	230
空殼	空壳	khon khoq	khon khoq	230
空省	空省	khon san	khon san	230
空心板	空心板	khon shin pae	khon shin pae	230
空倉鈿	空仓钿	khon tshaon di	khon tshaon di	230
空倉水鈿	空仓水钿	khon tshaon syu di	khon tshaon syu di	230
空勢勢	空势势	khon syu syu	khon syu syu	230
空豂豂	空豂豂	khon lau lau	khon lau lau	230
空手散腳	空手散脚	khon shieu sae ciaq	khon shieu sae ciq	230
空頭白腦	空头白脑	khon deu baq nau	khon deu baq nau	231
實貨	实货	zyuq hou	zoq hou	231
實畐畐	实畐畐	zyuq biq biq	zoq biq biq	231
郎中	郎中	laon tson	laon tson	231
肩胛頭	肩胛头	ci kaq deu	ci kaq deu	231
肩胛頭	肩胛头	ci khaq deu	ci khaq deu	231
房空	房空	vaon khon	vaon khon	231
房鈿	房钿	vaon di	vaon di	231
襯裏褲	衬里裤	tshen li khu	tshen li khu	231
襯裏布衫	衬里布衫	tshen li pu sae	tshen li pu sae	231
話	话	wo6	wo6	231
話頭	话头	wo deu	wo deu	232
話頭	话头	wo dei	wo dei	232
話柄	话柄	wo pin	wo pin	232
話弗起	话弗起	wo vaq chi	wo faq chi	232
話弗睬	话弗睬	wo vaq tshe	wo faq tshe	232
話勒睬	话勒睬	wo laq tshe	wo laq tshe	232
該	该	kiq7	kiq7	232
該	该	ke1	ke1	232
該記	该记	kiq ci	kiq ci	232
該網	该网	kiq maon	kiq maon	232
該回	该回	kiq wei	kiq wei	232
該遭	该遭	kiq tsau	kiq tsau	232
該頃	该顷	kiq chian	kiq chian	233
該一頃	该一顷	kiq iq chian	kiq iq chian	233
該頃裏	该顷里	kiq chian li	kiq chian li	233
該應	该应	ke in	ke in	233
該面	该面	kiq mi	kiq mi	233
該頭	该头	kiq deu	kiq deu	233
該廂	该厢	kiq shian	kiq shian	233
該晌	该晌	kiq zaon	kiq zaon	233
該晌	该晌	koq zaon	koq zaon	233
該晌記	该晌记	kiq zaon ci	kiq zaon ci	233
該晌記	该晌记	koq zaon ci	koq zaon ci	233
該晌裏	该晌里	kiq zaon li	kiq zaon li	233
該晌裏	该晌里	koq zaon li	koq zaon li	233
該𡍲	该𡍲	kiq taq	kiq taq	233
該底	该底	kiq ti	kiq ti	233
該對	该对	kiq tei	kiq tei	233
該把	该把	kiq po	kiq po	233
該貌	该貌	koq mau	koq mau	233
該貌	该貌	kiq mau	kiq mau	233
該𡀂	该𡀂	ke lei	ke lei	233
該𡀂	该𡀂	ke liq	ke liq	233
詫譚	诧谭	tsho dae	tsho dae	233
屆	届	ka5	ka5	233
刷桌布	刷桌布	syuq tsoq pu	soq tsoq pu	233
彌滿	弥满	mi mun	mi moe	233
彌海碗	弥海碗	mi he un	mi he u	234
隑	𬮿	nge4	nge2	234
隑長隑大	𬮿长𬮿大	nge jian nge dou	nge jian nge dou	234
孤老	孤老	ku lau	ku lau	234
孤孀老𡢿	孤孀老𭑸	ku saon lau gnion	ku saon lau gnion	234
限卯	限卯	ghae mau	ghae mau	234
限扳	限扳	ghae pae	ghae pae	234
限扳數	限扳数	ghae pae su	ghae pae su	234
姑丈	姑丈	ku jian	ku jian	234
姑婆	姑婆	ku bou	ku bou	234
姑丈公	姑丈公	ku jian kon	ku jian kon	234
蝨米老鬼	虱米老鬼	saq mhi lau ciu	saq mhi lau ciu	234
蝨米老鬼	虱米老鬼	saq mi lau ciu	saq mi lau ciu	234
蝨米鬼	虱米鬼	saq mhi ciu	saq mhi ciu	234
蝨米鬼	虱米鬼	saq mi ciu	saq mi ciu	234
線雞	线鸡	shi ci	shi ci	235
線粉	线粉	shi fen	shi fen	235
細巧	细巧	shi chiau	shi chiau	235
細相	细相	shi shian	shi shian	235
細碎	细碎	shi sei	shi sei	235
細糠	细糠	shi khaon	shi khaon	235
織績蟲	织绩虫	ciq ciq dzon	ciq ciq dzon	235
織績蟲	织绩虫	cia cia dzon	cia cia dzon	235
駝	驼	dou2	dou2	235
經摺	经折	cin ciq	cin ciq	235
紿	绐	dei4	dei6	235
紿	绐	de4	de6	235
春花	春花	tshyun huo	tshyun huo	236
春捲	春卷	tshyun ciu	tshyun ciu	236
春餅	春饼	tshyun pin	tshyun pin	236
春暴頭	春暴头	tshyun pau deu	tshyun pau deu	236
封	封	fon1	fon1	236
拷	拷	khau1	khau1	236
拷邊	拷边	khau pi	khau pi	236
拷定	拷定	khau din	khau din	237
拷𧰵	拷𧰵	khau toq	khau toq	237
拷瓦爿	拷瓦爿	khau ngo bae	khau ngo bae	237
拷火油箱	拷火油箱	khau hou yeu shian	khau hou yeu shian	237
掗	挜	o5	o5	237
掗賣豆腐	挜卖豆腐	o ma deu vu	o ma deu vu	237
𢫦	𢫦	maq8	maq8	237
墝埆	墝埆	chiau goq	chiau goq	237
墝埆	墝埆	chiau koq	chiau koq	237
擋	挡	taon5	taon5	237
擋娃	挡娃	taon uae	taon uae	237
拽	拽	yiq8	yiq8	238
𢫭	𢫭	gnioq8	gnioq8	238
括	括	kuaq7	kuaq7	238
括氣	括气	kuaq chi	kuaq chi	238
括括	括括	kuaq kuaq	kuaq kuaq	238
括得	括得	kuaq taq	kuaq taq	238
括斯	括斯	kuaq sy	kuaq sy	238
郝鄔安常	郝邬安常	haq u ei dzaon	haq u ei dzaon	238
挑肩胛	挑肩胛	thiau ci kaq	thiau ci kaq	239
挆	挆	to3	to3	239
㧦	㧦	shiu5	shiu5	239
指掐	指掐	tsy khaq	tsy khaq	239
指末頭	指末头	tsy maq deu	tsy maq deu	239
指掐伸	指掐伸	tsy khaq shin	tsy khaq shin	239
墊肩	垫肩	di ci	di ci	239
墊被	垫被	di bi	di bi	239
掙株	挣株	tsan tsyu	tsan tsyu	239
拼盆	拼盆	phin ben	phin ben	239
挖	挖	uaq7	uaq7	239
挖打	挖打	uaq tan	uaq tan	240
挖耳	挖耳	uaq gni	uaq gni	240
挖起	挖起	uaq chi	uaq chi	240
挖袋	挖袋	uaq de	uaq de	240
挖壁打洞	挖壁打洞	uaq piq tan don	uaq piq tan don	240
按杖棒	按杖棒	ei jian baon	ei jian baon	240
甚多沒少	甚多没少	zhin tou maq shiau	zhin tou maq shiau	240
革命草	革命草	kaq min tshau	kaq min tshau	240
莢	荚	ciaq7	ciq7	240
枼薄	枼薄	yiq boq	yiq boq	240
枼薄裏	枼薄里	yiq boq li	yiq boq li	240
貰器店	贳器店	syu chi ti	syu chi ti	240
帶	带	ta5	ta5	241
帶	带	tae5	tae5	241
帶豆	带豆	ta deu	ta deu	241
帶魚絲薧	带鱼丝薧	ta ng sy khau	ta ng sy khau	241
草	草	tshau3	tshau3	241
草子	草子	tshau tsy	tshau tsy	241
草雞	草鸡	tshau ci	tshau ci	241
草苫	草苫	tshau shi	tshau shi	242
草蓬	草蓬	tshau bon	tshau bon	242
草窠	草窠	tshau khou	tshau khou	242
草屋	草屋	tshau oq	tshau oq	242
草螕	草螕	tshau pi	tshau pi	242
草螕奶奶	草螕奶奶	tshau pi nhe nhe	tshau pi nhe nhe	242
茶	茶	dzo2	dzo2	242
茶籮	茶箩	dzo lou	dzo lou	242
蕩	荡	daon4	daon6	242
葷腥	荤腥	huen shin	huen shin	242
胡嚨	胡咙	wu lon	wu lon	243
胡嚨	胡咙	u lon	u lon	243
胡琴	胡琴	wu jin	wu jin	243
胡琴	胡琴	lu jin	lu jin	243
胡嚨頭	胡咙头	wu lon deu	wu lon deu	243
胡嚨頭	胡咙头	u lon deu	u lon deu	243
胡嚨哮管	胡咙哮管	wu lon hau kun	wu lon hau ku	243
胡嚨哮管	胡咙哮管	u lon hau kun	u lon hau ku	243
南貨店	南货店	nei hou ti	nei hou ti	243
藥砂罐	药砂罐	yaq so kun	yiq so ku	243
藥腥氣	药腥气	yaq shin chi	yiq shin chi	243
棧房	栈房	dzae vaon	dzae vaon	243
相	相	shian5	shian5	243
相因	相因	shian in	shian in	244
相應	相应	shian in	shian in	244
相勢	相势	shian syu	shian syu	244
相信	相信	shian shin	shian shin	244
相煩	相烦	shian vae	shian vae	244
相道	相道	shian dau	shian dau	244
查查廉廉	查查廉廉	dzo dzo li li	dzo dzo li li	244
查查叨叨	查查叨叨	dzo dzo tau tau	dzo dzo tau tau	244
查查問問	查查问问	dzo dzo men men	dzo dzo men men	244
欄柵	栏栅	laq saq	laq saq	244
勃闌	勃阑	baq lae	baq lae	244
剌柴	剌柴	la za	la za	245
㰤㰤	㰤㰤	huo huo	huo huo	245
⿰口住⿰口住	⿰口住⿰口住	dzyu dzyu	dzyu dzyu	245
嗤嗤	嗤嗤	tshyu tshyu	tshyu tshyu	245
要緊要慢	要紧要慢	iau cin iau mae	iau cin iau mae	245
要鈿嘸郎	要钿呒郎	iau di mh laon	iau di mh laon	245
要鈿嘸郎	要钿呒郎	iau di m laon	iau di m laon	245
要鈿嘸郎	要钿呒郎	iau di mh naon	iau di mh naon	245
要鈿嘸郎	要钿呒郎	iau di m naon	iau di m naon	245
鹹口	咸口	ghae kheu	ghae kheu	245
鹹苦	咸苦	ghae khu	ghae khu	245
鹹草	咸草	ghae tshau	ghae tshau	245
鹹𣝗	咸𣝗	ghae waq	ghae waq	245
鹹蟹	咸蟹	ghae ha	ghae ha	245
鹹虀	咸虀	ghae ci	ghae ci	245
鹹光餅	咸光饼	ghae kuaon pin	ghae kuaon pin	245
鹹呵呵	咸呵呵	ghae hou hou	ghae hou hou	246
鹹貨店	咸货店	ghae hou ti	ghae hou ti	246
鹹咪咪	咸咪咪	ghae mhi mhi	ghae mhi mhi	246
鹹駱駝	咸骆驼	ghae loq dou	ghae loq dou	246
鹹辣辣	咸辣辣	ghae laq laq	ghae laq laq	246
鹹𪉯𪉯	咸𪉯𪉯	ghae khaq khaq	ghae khaq khaq	246
鹹𣝗青果	咸𣝗青果	ghae waq chin kou	ghae waq chin kou	245
歪嘴	歪嘴	hua tsyu	hua tsyu	246
歪七𢺵八	歪七𢺵八	hua chiq ji paq	hua chiq ji paq	246
磚牑	砖牑	tsoe bi	tsoe bi	246
厚實	厚实	gheu zyuq	gheu zoq	246
厚䚮䚮	厚䚮䚮	gheu zen zen	gheu zen zen	247
厚嘴厚得	厚嘴厚得	gheu tsyu gheu taq	gheu tsyu gheu taq	247
砑	砑	ngo6	ngo6	247
硯瓦	砚瓦	gni ngo	gni ngo	247
硯瓦爿	砚瓦爿	gni ngo bae	gni ngo bae	247
䂻	䂻	dzan6	dzan6	247
斫	斫	tsoq7	tsoq7	247
斫柴刀	斫柴刀	tsoq za tau	tsoq za tau	247
面友	面友	mi yeu	mi yeu	247
面水	面水	mi syu	mi syu	247
面湯	面汤	mi thaon	mi thaon	248
面桶	面桶	mi don	mi don	248
面情	面情	mi jin	mi jin	248
面刺刺	面刺刺	mi tshy tshy	mi tshy tshy	248
面前牙	面前牙	mi zhi ngo	mi zhi ngo	248
面盤子	面盘子	mi bun tsy	mi boe tsy	248
面頰巴	面颊巴	mi kaq po	mi kaq po	248
耐心耐想	耐心耐想	ne shin ne shian	ne shin ne shian	248
耐心耐想	耐心耐想	nei shin nei shian	nei shin nei shian	248
耍賴羊	耍赖羊	sa la yan	sa la yan	248
牽扯	牵扯	chi tsho	chi tsho	248
牽頭皮	牵头皮	chi deu bi	chi deu bi	248
牽絲𢲔凳	牵丝𢲔凳	chi sy pae ten	chi sy pae ten	249
牽扯阿姆	牵扯阿姆	chi tsho a m	chi tsho a m	249
迾	迾	laq8	laq8	249
迾軋	迾轧	laq gaq	laq gaq	249
輕可	轻可	chin khou	chin khou	249
輕𠆩	轻𠆩	chin fae	chin fae	249
輕省	轻省	chin san	chin san	249
輕骨頭	轻骨头	chin kuaq deu	chin kuaq deu	249
鴉鵲	鸦鹊	o chiaq	o chiq	250
揹	背	pei5	pei5	250
揹命	背命	pei min	pei min	250
揹性命	背性命	pei shin min	pei shin min	250
揹夜	背夜	pei ya	pei ya	250
背單	背单	pei tae	pei tae	250
揹皅	背皅	pei bo	pei bo	250
揹木梢	背木梢	pei moq sau	pei moq sau	250
背脊心	背脊心	pei ciq shin	pei ciq shin	250
背脊頂	背脊顶	pei ciq ten	pei ciq ten	250
背脊胴	背脊胴	pei ciq don	pei ciq don	250
背脊骨	背脊骨	pei ciq kuaq	pei ciq kuaq	250
揹桌凳腳	背桌凳脚	pei tsoq ten ciaq	pei tsoq ten ciq	250
點飢	点饥	ti ci	ti ci	251
點心時	点心时	ti shin zy	ti shin zy	251
點心時	点心时	te shin zy	te shin zy	251
點心飯	点心饭	ti shin vae	ti shin vae	251
點心飯	点心饭	te shin vae	te shin vae	251
豎屋酒	竖屋酒	zyu oq cieu	zyu oq cieu	251
省力	省力	san liq	san liq	251
省勒	省勒	san laq	san laq	251
省勒	省勒	sae laq	sae laq	251
省省嗇嗇	省省啬啬	san san saq saq	san san saq saq	251
是	是	zy4	zy6	251
是介	是介	zy ka	zy ka	251
是只	是只	zy ciq	zy ciq	252
是會	是会	zy wei	zy wei	252
是話	是话	zy wo	zy wo	252
是超	是超	zy chiau	zy chiau	252
是介光景	是介光景	zy ka kuaon cin	zy ka kuaon cin	252
𥄎	𥄎	shiuq7	shiuq7	252
咠咠㗫㗫	咠咠㗫㗫	chiq chiq tshaq tshaq	chiq chiq tshaq tshaq	252
啞子	哑子	o tsy	o tsy	252
冒	冒	mau6	mau6	253
冒㾹病	冒㾹病	mau za bin	mau za bin	253
冒㾹病	冒㾹病	ma za bin	ma za bin	253
映起	映起	in chi	in chi	253
昨末	昨末	zoq maq	zoq maq	253
昨末	昨末	zaon maq	zaon maq	253
昨末子	昨末子	zoq maq tsy	zoq maq tsy	253
昨末子	昨末子	zaon maq tsy	zaon maq tsy	253
昨日	昨日	zoq gniq	zoq gniq	253
昨日	昨日	zaon gniq	zaon gniq	253
昨日子	昨日子	zoq gniq tsy	zoq gniq tsy	253
昨日子	昨日子	zaon gniq tsy	zaon gniq tsy	253
上末	上末	zaon maq	zaon maq	253
上末子	上末子	zaon maq tsy	zaon maq tsy	253
上日	上日	zaon gniq	zaon gniq	253
上日子	上日子	zaon gniq tsy	zaon gniq tsy	253
咦	咦	yi4	yi6	253
嘵豬	哓猪	gniau tsyu	gniau tsyu	253
畏惡	畏恶	uei wu	uei wu	253
畈	畈	pae5	pae5	253
胃家	胃家	wei ko	wei ko	253
蝦𩻣	虾𩻣	huo zae	huo zae	253
蝦𩻣	虾𩻣	huo dzae	huo dzae	253
蝦𩻣薧	虾𩻣薧	huo zae khau	huo zae khau	254
蝦𩻣薧	虾𩻣薧	huo dzae khau	huo dzae khau	254
蝦皮彈蟲	虾皮弹虫	huo bi dae dzon	huo bi dae dzon	254
蝦蛄彈	虾蛄弹	huo ku dae	huo ku dae	254
蝦步彈	虾步弹	huo bu dae	huo bu dae	254
㽘杴	㽘杴	gaon shi	gaon shi	254
㽘底	㽘底	gaon ti	gaon ti	254
螞粉	蚂粉	mo fen	mo fen	254
嚥酸	咽酸	i soe	i soe	254
噦	哕	iuq7	iuq7	254
剮	剐	ko5	ko5	254
𠲎	𠲎	vaq8	vaq8	254
𠲎啦	𠲎啦	vaq laq	vaq laq	254
響	响	shian3	shian3	255
響米花	响米花	shian mi huo	shian mi huo	255
㖃㖃	㖃㖃	gheu gheu	gheu gheu	255
哈答糊塗	哈答糊涂	haq taq wu du	haq taq wu du	255
咯	咯	goq8	goq8	255
咯	咯	ghoq8	ghoq8	255
咯咯郎	咯咯郎	goq goq laon	goq goq laon	255
哆哆	哆哆	to to	to to	255
咬口	咬口	ngau kheu	ngau kheu	255
咬奶頭	咬奶头	ngau na deu	ngau na deu	255
咬奶頭	咬奶头	ngau na dei	ngau na dei	255
咳	咳	hei1	hei1	256
咪咪	咪咪	mhi mhi	mhi mhi	256
咪咪排排	咪咪排排	mhi mhi ba ba	mhi mhi ba ba	256
噥噥	哝哝	nhon nhon	nhon nhon	256
哏哏	哏哏	khen khen	khen khen	256
哏哏	哏哏	gen gen	gen gen	256
罰	罚	vaq8	vaq8	256
罰願	罚愿	vaq gniu	vaq gniu	256
貼	贴	thaq7	thaq7	256
貼	贴	thiaq7	thiq7	256
貼水	贴水	thiaq syu	thiq syu	257
貼紕	贴纰	thiaq bi	thiq bi	257
貼袋	贴袋	thiaq de	thiq de	257
貼隔壁	贴隔壁	thiaq kaq piq	thiq kaq piq	257
貼色十六	贴色十六	thiaq saq zyuq loq	thiq saq zoq loq	257
貼色無離	贴色无离	thiaq saq vu li	thiq saq wu li	257
貼色無離	贴色无离	thiaq saq wu li	thiq saq wu li	257
貼色葫蘆	贴色葫芦	thiaq saq wu lu	thiq saq wu lu	257
貼色做樣	贴色做样	thiaq saq tsou yan	thiq saq tsou yan	257
貼色一樣	贴色一样	thiaq saq iq yan	thiq saq iq yan	257
貼色做號	贴色做号	thiaq saq tsou ghau	thiq saq tsou ghau	257
𤿏	𤿏	nei6	nei6	257
𤿏𢼹𢼹	𤿏𢼹𢼹	nei bu bu	nei bu bu	257
骨頭	骨头	kuaq deu	kuaq deu	257
骨針	骨针	kuaq cin	kuaq cin	257
骨直	骨直	kuaq jiq	kuaq jiq	258
骨骨斯直	骨骨斯直	kuaq kuaq sy jiq	kuaq kuaq sy jiq	258
骨裏斯直	骨里斯直	kuaq li sy jiq	kuaq li sy jiq	258
骨急	骨急	kuaq ciq	kuaq ciq	258
骨陡	骨陡	kuaq toq	kuaq toq	258
骨敦	骨敦	kuaq ten	kuaq ten	258
骨僵	骨僵	kuaq cian	kuaq cian	258
骨陡翹	骨陡翘	kuaq toq chiau	kuaq toq chiau	258
骨辣辣	骨辣辣	kuaq laq laq	kuaq laq laq	258
幽	幽	ieu5	ieu5	258
幽	幽	ieu1	ieu1	258
幽焞焞	幽焞焞	ieu ten ten	ieu ten ten	258
鐘頭	钟头	tson deu	tson deu	259
鋼絲	钢丝	kaon sy	kaon sy	259
鋼針	钢针	kaon cin	kaon cin	259
鋼精面桶	钢精面桶	kaon cin mi don	kaon cin mi don	259
鋼精鍋子	钢精锅子	kaon cin kou tsy	kaon cin kou tsy	259
鈐	钤	jin6	jin6	259
鑰匙彎	钥匙弯	yaq zy uae	yiq zy uae	259
缸竈	缸灶	kaon tsau	kaon tsau	259
缸沙	缸沙	kaon so	kaon so	259
拜生	拜生	pa san	pa san	259
拜歲	拜岁	pa syu	pa syu	259
拜見鈿	拜见钿	pa ci di	pa ci di	259
看	看	khi5	khi5	260
看起	看起	khi chi	khi chi	260
看場	看场	khi jian	khi jian	260
看好	看好	khi hau	khi hau	260
看張	看张	khi cian	khi cian	260
看相	看相	khi shian	khi shian	260
看樣	看样	khi yan	khi yan	260
看想	看想	khi shian	khi shian	260
看三色	看三色	khi sae saq	khi sae saq	260
看牛娃	看牛娃	khi ngeu uae	khi ngeu uae	261
看牛小娃	看牛小娃	khi ngeu shiau uae	khi ngeu shiau uae	261
看鴨船	看鸭船	khi ae zoe	khi ae zoe	261
看去生勤	看去生勤	khi chi san jin	khi chi san jin	261
氈帽頭	毡帽头	ci mau deu	ci mau deu	261
氈帽頭	毡帽头	ci mau dei	ci mau dei	261
牯豬	牯猪	ku tsyu	ku tsyu	261
臿	臿	tshaq7	tshaq7	261
秕花	秕花	phi huo	phi huo	261
香泡	香泡	shian phau	shian phau	261
香蕈	香蕈	shian jin	shian jin	261
香蕈	香蕈	shian zyun	shian zyun	261
香瓜子	香瓜子	shian kuo tsy	shian kuo tsy	261
香萵筍	香莴笋	shian wu syun	shian wu syun	261
香烘烘	香烘烘	shian hon hon	shian hon hon	261
香涼蟲	香凉虫	shian lian dzon	shian lian dzon	262
香菸屁股	香烟屁股	shian i phi ku	shian i phi ku	262
種	种	tson3	tson3	262
種田	种田	tson di	tson di	262
種草	种草	tson tshau	tson tshau	262
種田繩	种田绳	tson di zhin	tson di zhin	262
秋場	秋场	chieu jian	chieu jian	262
秋埭	秋埭	chieu da	chieu da	262
秋厄伏	秋厄伏	chieu aq boq	chieu aq boq	262
科	科	khou1	khou1	262
重隊	重队	dzon dei	dzon dei	263
重頓頓	重顿顿	dzon ten ten	dzon ten ten	263
篤	笃	toq7	toq7	263
篤長	笃长	toq jian	toq jian	263
篤底	笃底	toq ti	toq ti	263
篤定	笃定	toq din	toq din	263
篤篤	笃笃	toq toq	toq toq	263
篤落碼	笃落码	toq loq mo	toq loq mo	263
篤落碼	笃落码	toq loq moq	toq loq moq	263
篤塞弄	笃塞弄	toq saq lon	toq saq lon	263
篤定泰山	笃定泰山	toq din tha sae	toq din tha sae	264
段頭	段头	thoe deu	thoe deu	264
段蕩	段荡	doe daon	doe daon	264
段蕩阿姆	段荡阿姆	doe daon a m	doe daon a m	264
儼乎正經	俨乎正经	gni wu cin cin	gni wu cin cin	264
便桶	便桶	bi don	bi don	264
牮	牮	ci5	ci5	264
𤖱頭	𤖱头	ghou deu	ghou deu	264
順	顺	zyun6	zyun6	265
順風	顺风	zyun fon	zyun fon	265
順頭	顺头	zyun deu	zyun deu	265
順湯	顺汤	zyun thaon	zyun thaon	265
順埭	顺埭	zyun da	zyun da	265
順埭過便	顺埭过便	zyun da kou bi	zyun da kou bi	265
順埭過便	顺埭过便	zyun da kou pi	zyun da kou pi	265
修閒	修闲	shieu ghae	shieu ghae	265
保頭人	保头人	pau deu gnin	pau deu gnin	265
促	促	tshoq7	tshoq7	265
促	促	tshaq7	tshaq7	265
信紙	信纸	shin tsy	shin tsy	265
信殼	信壳	shin khoq	shin khoq	266
鬼	鬼	ciu3	ciu3	266
瓟	瓟	bau2	bau2	266
瓟痧氣	瓟痧气	bau so chi	bau so chi	266
食	食	ze2	ze2	266
食罩	食罩	zhiq tsau	zhiq tsau	266
食頭刮腳	食头刮脚	ze deu kuaq ciaq	ze deu kuaq ciq	266
盆子	盆子	ben tsy	ben tsy	266
盆子菜	盆子菜	ben tsy tshe	ben tsy tshe	266
胖頂	胖顶	phaon tin	phaon tin	266
胖起	胖起	phaon chi	phaon chi	267
胖脯	胖脯	phaon bu	phaon bu	267
胖頭魚	胖头鱼	phaon deu ng	phaon deu ng	267
胖陽𣝗	胖阳𣝗	phaon yan waq	phaon yan waq	267
狹倰倰	狭倰倰	ghaq len len	ghaq len len	267
獅子頭	獅子头	sy tsy deu	sy tsy deu	267
獨頭	独头	doq deu	doq deu	267
獨手落	独手落	doq shieu loq	doq shieu loq	267
獨養囡	独养囡	doq ian noe	doq ian noe	267
獨碗注	独碗注	doq un tsyu	doq u tsyu	267
